[2025-09-17 18:53:36,980] [INFO] 🚀 Старт анализа бетонных марок и сметной документации
[2025-09-17 18:53:50,270] [INFO] 📄 Текст успешно извлечён из проектной документации
[2025-09-17 18:53:50,502] [INFO] 📊 Данные из сметы успешно получены
[2025-09-17 18:53:50,504] [INFO] ✅ Анализ завершён. Найдено 0 марок бетона.
[2025-09-18 13:46:26,373] [INFO] 🚀 Старт анализа бетонных марок и сметной документации
[2025-09-18 13:46:49,682] [INFO] 📄 Текст успешно извлечён из проектной документации
[2025-09-18 13:46:49,932] [INFO] 📊 Данные из сметы успешно получены
[2025-09-18 13:46:49,936] [INFO] ✅ Анализ завершён. Найдено 0 марок бетона.
[2025-09-18 13:48:50,117] [INFO] 🚀 Старт анализа бетонных марок и сметной документации
[2025-09-18 13:48:51,710] [INFO] 📄 Текст успешно извлечён из проектной документации
[2025-09-18 13:48:51,926] [INFO] 📊 Данные из сметы успешно получены
[2025-09-18 13:48:51,930] [INFO] ✅ Анализ завершён. Найдено 0 марок бетона.
[2025-09-18 13:49:51,917] [INFO] 🚀 Старт анализа бетонных марок и сметной документации
[2025-09-18 13:49:53,358] [INFO] 📄 Текст успешно извлечён из проектной документации
[2025-09-18 13:49:53,594] [INFO] 📊 Данные из сметы успешно получены
[2025-09-18 13:49:53,596] [INFO] ✅ Анализ завершён. Найдено 0 марок бетона.
[2025-09-18 13:54:45,367] [INFO] 🚀 Старт анализа бетонных марок и сметной документации
[2025-09-18 13:54:47,048] [INFO] 📄 Текст успешно извлечён из проектной документации
[2025-09-18 13:54:47,261] [INFO] 📊 Данные из сметы успешно получены
[2025-09-18 13:54:47,264] [INFO] ✅ Анализ завершён. Найдено 0 марок бетона.
[2025-09-18 14:08:22,998] [INFO] 🚀 Старт анализа бетонных марок и сметной документации
[2025-09-18 14:08:24,475] [INFO] 📄 Текст успешно извлечён из проектной документации
[2025-09-18 14:08:24,702] [INFO] 📊 Данные из сметы успешно получены
[2025-09-18 14:08:24,706] [INFO] ✅ Анализ завершён. Найдено 0 марок бетона.
